GEO.id	GEO.id2	GEO.display-label	GCT_STUB.target-geo-id	GCT_STUB.target-geo-id2	GCT_STUB.display-label	Density per square mile of land area
0400000US30	30	Montana	0500000US30001	30001	Beaverhead County	1.7
0400000US30	30	Montana	0500000US30003	30003	Big Horn County	2.6
0400000US30	30	Montana	0500000US30005	30005	Blaine County	1.5
0400000US30	30	Montana	0500000US30007	30007	Broadwater County	4.7
0400000US30	30	Montana	0500000US30009	30009	Carbon County	4.9
0400000US30	30	Montana	0500000US30011	30011	Carter County	0.3
0400000US30	30	Montana	0500000US30013	30013	Cascade County	30.1
0400000US30	30	Montana	0500000US30015	30015	Chouteau County	 1.5
0400000US30	30	Montana	0500000US30017	30017	Custer County	3.1
0400000US30	30	Montana	0500000US30019	30019	Daniels County	1.2
0400000US30	30	Montana	0500000US30021	30021	Dawson County	3.8
0400000US30	30	Montana	0500000US30023	30023	Deer Lodge County	12.6
0400000US30	30	Montana	0500000US30025	30025	Fallon County	1.8
0400000US30	30	Montana	0500000US30027	30027	Fergus County	2.7
0400000US30	30	Montana	0500000US30029	30029	Flathead County	17.9
0400000US30	30	Montana	0500000US30031	30031	Gallatin County	34.4
0400000US30	30	Montana	0500000US30033	30033	Garfield County	0.3
0400000US30	30	Montana	0500000US30035	30035	Glacier County	4.5
0400000US30	30	Montana	0500000US30037	30037	Golden Valley County	0.8
0400000US30	30	Montana	0500000US30039	30039	Granite County	1.8
0400000US30	30	Montana	0500000US30041	30041	Hill County	5.6
0400000US30	30	Montana	0500000US30043	30043	Jefferson County	6.9
0400000US30	30	Montana	0500000US30045	30045	Judith Basin County	1.1
0400000US30	30	Montana	0500000US30047	30047	Lake County	19.3
0400000US30	30	Montana	0500000US30049	30049	Lewis and Clark County	18.3
0400000US30	30	Montana	0500000US30051	30051	Liberty County	1.6
0400000US30	30	Montana	0500000US30053	30053	Lincoln County	5.4
0400000US30	30	Montana	0500000US30055	30055	McCone County	0.7
0400000US30	30	Montana	0500000US30057	30057	Madison County	2.1
0400000US30	30	Montana	0500000US30059	30059	Meagher County	0.8
0400000US30	30	Montana	0500000US30061	30061	Mineral County	3.5
0400000US30	30	Montana	0500000US30063	30063	Missoula County	42.1
0400000US30	30	Montana	0500000US30065	30065	Musselshell County	2.4
0400000US30	30	Montana	0500000US30067	30067	Park County	5.6
0400000US30	30	Montana	0500000US30069	30069	Petroleum County	0.3
0400000US30	30	Montana	0500000US30071	30071	Phillips County	0.8
0400000US30	30	Montana	0500000US30073	30073	Pondera County	3.8
0400000US30	30	Montana	0500000US30075	30075	Powder River County	0.5
0400000US30	30	Montana	0500000US30077	30077	Powell County	3
0400000US30	30	Montana	0500000US30079	30079	Prairie County	0.7
0400000US30	30	Montana	0500000US30081	30081	Ravalli County	16.8
0400000US30	30	Montana	0500000US30083	30083	Richland County	4.7
0400000US30	30	Montana	0500000US30085	30085	Roosevelt County	4.4
0400000US30	30	Montana	0500000US30087	30087	Rosebud County	1.8
0400000US30	30	Montana	0500000US30089	30089	Sanders County	4.1
0400000US30	30	Montana	0500000US30091	30091	Sheridan County	2
0400000US30	30	Montana	0500000US30093	30093	Silver Bow County	47.6
0400000US30	30	Montana	0500000US30095	30095	Stillwater County	5.1
0400000US30	30	Montana	0500000US30097	30097	Sweet Grass County	2
0400000US30	30	Montana	0500000US30099	30099	Teton County	2.7
0400000US30	30	Montana	0500000US30101	30101	Toole County	2.8
0400000US30	30	Montana	0500000US30103	30103	Treasure County	0.7
0400000US30	30	Montana	0500000US30105	30105	Valley County	1.5
0400000US30	30	Montana	0500000US30107	30107	Wheatland County	1.5
0400000US30	30	Montana	0500000US30109	30109	Wibaux County	1.1
0400000US30	30	Montana	0500000US30111	30111	Yellowstone County	56.2
